series_id,year,period,value,footnote_codes
,,,,
Sawmills and wood preservation,2014.0,M08,126.0,
,,,,
Sawmills and wood preservation,2014.0,M09,127.6,
,,,,
Sawmills and wood preservation,2014.0,M10,124.8,
,,,,
Sawmills and wood preservation,2014.0,M11,123.4,
,,,,
Sawmills and wood preservation,2014.0,M12,122.8,
,,,,
Sawmills and wood preservation,2014.0,M13,124.7,
,,,,
Sawmills and wood preservation,2015.0,M01,122.6,
,,,,
Sawmills and wood preservation,2015.0,M02,121.0,
,,,,
Sawmills and wood preservation,2015.0,M03,119.4,
,,,,
Sawmills and wood preservation,2015.0,M04,118.5,
,,,,
Sawmills and wood preservation,2015.0,M05,116.1,
,,,,
Sawmills and wood preservation,2015.0,M06,115.9,
,,,,
Sawmills and wood preservation,2015.0,M07,117.2,
,,,,
Sawmills and wood preservation,2015.0,M08,115.2,
,,,,
Sawmills and wood preservation,2015.0,M09,112.6,
,,,,
Sawmills and wood preservation,2015.0,M10,113.1,
,,,,
Sawmills and wood preservation,2015.0,M11,115.2,
,,,,
Sawmills and wood preservation,2015.0,M12,113.6,
,,,,
Sawmills and wood preservation,2015.0,M13,116.7,
,,,,
Sawmills and wood preservation,2016.0,M01,114.0,
,,,,
Sawmills and wood preservation,2016.0,M02,114.0,
,,,,
Sawmills and wood preservation,2016.0,M03,115.7,
,,,,
Sawmills and wood preservation,2016.0,M04,118.3,
,,,,
Sawmills and wood preservation,2016.0,M05,119.3,
,,,,
Sawmills and wood preservation,2016.0,M06,119.1,
,,,,
Sawmills and wood preservation,2016.0,M07,119.8,
,,,,
Sawmills and wood preservation,2016.0,M08,120.3,
,,,,
Sawmills and wood preservation,2016.0,M09,119.3,
,,,,
Sawmills and wood preservation,2016.0,M10,119.2,
,,,,
Sawmills and wood preservation,2016.0,M11,118.4,
,,,,
Sawmills and wood preservation,2016.0,M12,118.1,
,,,,
Sawmills and wood preservation,2016.0,M13,118.0,
,,,,
Sawmills and wood preservation,2017.0,M01,118.7,
,,,,
Sawmills and wood preservation,2017.0,M02,121.7,
,,,,
Sawmills and wood preservation,2017.0,M03,122.6,
,,,,
Sawmills and wood preservation,2017.0,M04,124.0,
,,,,
Sawmills and wood preservation,2017.0,M05,124.8,
,,,,
Sawmills and wood preservation,2017.0,M06,123.1,
,,,,
Sawmills and wood preservation,2017.0,M07,123.1,
,,,,
Sawmills and wood preservation,2017.0,M08,125.8,
,,,,
Sawmills and wood preservation,2017.0,M09,124.9,
,,,,
Sawmills and wood preservation,2017.0,M10,127.1,
,,,,
Sawmills and wood preservation,2017.0,M11,127.7,
,,,,
Sawmills and wood preservation,2017.0,M12,127.2,
,,,,
Sawmills and wood preservation,2017.0,M13,124.2,
,,,,
Sawmills and wood preservation,2018.0,M01,128.0,
,,,,
Sawmills and wood preservation,2018.0,M02,135.1,
,,,,
Sawmills and wood preservation,2018.0,M03,136.6,
,,,,
Sawmills and wood preservation,2018.0,M04,135.6,
,,,,
Sawmills and wood preservation,2018.0,M05,142.2,
,,,,
Sawmills and wood preservation,2018.0,M06,145.5,
,,,,
Sawmills and wood preservation,2018.0,M07,141.5,
,,,,
Sawmills and wood preservation,2018.0,M08,132.9,
,,,,
Sawmills and wood preservation,2018.0,M09,130.5,
,,,,
Sawmills and wood preservation,2018.0,M10,123.3,
,,,,
Sawmills and wood preservation,2018.0,M11,120.6,
,,,,
Sawmills and wood preservation,2018.0,M12,121.7,
,,,,
Sawmills and wood preservation,2018.0,M13,132.8,
,,,,
Sawmills and wood preservation,2019.0,M01,120.7,
,,,,
Sawmills and wood preservation,2019.0,M02,124.1,
,,,,
Sawmills and wood preservation,2019.0,M03,123.3,
,,,,
Sawmills and wood preservation,2019.0,M04,123.1,
,,,,
Sawmills and wood preservation,2019.0,M05,122.6,
,,,,
Sawmills and wood preservation,2019.0,M06,120.0,P
,,,,
Sawmills and wood preservation,2019.0,M07,119.6,P
,,,,
Sawmills and wood preservation,2019.0,M08,118.9,P
,,,,
Sawmills and wood preservation,2019.0,M09,121.5,P
,,,,
Sawmills and wood preservation,2003.0,M12,100.0,
,,,,
Sawmills and wood preservation,2004.0,M01,100.8,
,,,,
Sawmills and wood preservation,2004.0,M02,104.3,
,,,,
Sawmills and wood preservation,2004.0,M03,109.0,
,,,,
Sawmills and wood preservation,2004.0,M04,112.4,
,,,,
Sawmills and wood preservation,2004.0,M05,116.3,
,,,,
Sawmills and wood preservation,2004.0,M06,113.4,
,,,,
Sawmills and wood preservation,2004.0,M07,112.7,
,,,,
Sawmills and wood preservation,2004.0,M08,117.4,
,,,,
Sawmills and wood preservation,2004.0,M09,116.9,
,,,,
Sawmills and wood preservation,2004.0,M10,110.9,
,,,,
Sawmills and wood preservation,2004.0,M11,105.8,
,,,,
Sawmills and wood preservation,2004.0,M12,106.4,
,,,,
Sawmills and wood preservation,2004.0,M13,110.5,
,,,,
Sawmills and wood preservation,2005.0,M01,107.8,
,,,,
Sawmills and wood preservation,2005.0,M02,112.0,
,,,,
Sawmills and wood preservation,2005.0,M03,112.8,
,,,,
Sawmills and wood preservation,2005.0,M04,112.6,
,,,,
Sawmills and wood preservation,2005.0,M05,110.3,
,,,,
Sawmills and wood preservation,2005.0,M06,113.8,
,,,,
Sawmills and wood preservation,2005.0,M07,112.0,
,,,,
Sawmills and wood preservation,2005.0,M08,110.1,
,,,,
Sawmills and wood preservation,2005.0,M09,111.4,
,,,,
Sawmills and wood preservation,2005.0,M10,110.2,
,,,,
Sawmills and wood preservation,2005.0,M11,107.4,
,,,,
Sawmills and wood preservation,2005.0,M12,108.6,
,,,,
Sawmills and wood preservation,2005.0,M13,110.7,
,,,,
Sawmills and wood preservation,2006.0,M01,111.6,
,,,,
Sawmills and wood preservation,2006.0,M02,112.9,
,,,,
Sawmills and wood preservation,2006.0,M03,113.2,
,,,,
Sawmills and wood preservation,2006.0,M04,112.5,
,,,,
Sawmills and wood preservation,2006.0,M05,114.2,
,,,,
Sawmills and wood preservation,2006.0,M06,109.6,
,,,,
Sawmills and wood preservation,2006.0,M07,107.2,
,,,,
Sawmills and wood preservation,2006.0,M08,104.3,
,,,,
Sawmills and wood preservation,2006.0,M09,105.0,
,,,,
Sawmills and wood preservation,2006.0,M10,100.9,
,,,,
Sawmills and wood preservation,2006.0,M11,101.1,
,,,,
Sawmills and wood preservation,2006.0,M12,102.3,
,,,,
Sawmills and wood preservation,2006.0,M13,107.9,
,,,,
Sawmills and wood preservation,2007.0,M01,105.5,
,,,,
Sawmills and wood preservation,2007.0,M02,105.3,
,,,,
Sawmills and wood preservation,2007.0,M03,105.8,
,,,,
Sawmills and wood preservation,2007.0,M04,105.3,
,,,,
Sawmills and wood preservation,2007.0,M05,104.8,
,,,,
Sawmills and wood preservation,2007.0,M06,105.4,
,,,,
Sawmills and wood preservation,2007.0,M07,107.1,
,,,,
Sawmills and wood preservation,2007.0,M08,104.8,
,,,,
Sawmills and wood preservation,2007.0,M09,102.8,
,,,,
Sawmills and wood preservation,2007.0,M10,101.2,
,,,,
Sawmills and wood preservation,2007.0,M11,99.0,
,,,,
Sawmills and wood preservation,2007.0,M12,98.7,
,,,,
Sawmills and wood preservation,2007.0,M13,103.8,
,,,,
Sawmills and wood preservation,2008.0,M01,97.6,
,,,,
Sawmills and wood preservation,2008.0,M02,96.9,
,,,,
Sawmills and wood preservation,2008.0,M03,97.4,
,,,,
Sawmills and wood preservation,2008.0,M04,98.2,
,,,,
Sawmills and wood preservation,2008.0,M05,103.4,
,,,,
Sawmills and wood preservation,2008.0,M06,104.5,
,,,,
Sawmills and wood preservation,2008.0,M07,102.9,
,,,,
Sawmills and wood preservation,2008.0,M08,103.0,
,,,,
Sawmills and wood preservation,2008.0,M09,101.9,
,,,,
Sawmills and wood preservation,2008.0,M10,97.0,
,,,,
Sawmills and wood preservation,2008.0,M11,94.9,
,,,,
Sawmills and wood preservation,2008.0,M12,94.1,
,,,,
Sawmills and wood preservation,2008.0,M13,99.3,
,,,,
Sawmills and wood preservation,2009.0,M01,90.3,
,,,,
