series_id,year,period,value,footnote_codes
Coal mining,2015,M10,193.2,
Coal mining,2015,M11,194.3,
Coal mining,2015,M12,193.2,
Coal mining,2015,M13,197.7,
Coal mining,2016,M01,189.6,
Coal mining,2016,M02,187.7,
Coal mining,2016,M03,193.1,
Coal mining,2016,M04,192.0,
Coal mining,2016,M05,198.5,
Coal mining,2016,M06,198.7,
Coal mining,2016,M07,192.3,
Coal mining,2016,M08,190.2,
Coal mining,2016,M09,190.2,
Coal mining,2016,M10,192.2,
Coal mining,2016,M11,195.7,
Coal mining,2016,M12,196.0,
Coal mining,2016,M13,193.0,
Coal mining,2017,M01,204.5,
Coal mining,2017,M02,200.1,
Coal mining,2017,M03,199.9,
Coal mining,2017,M04,202.2,
Coal mining,2017,M05,199.1,
Coal mining,2017,M06,198.0,
Coal mining,2017,M07,197.3,
Coal mining,2017,M08,197.8,
Coal mining,2017,M09,199.0,
Coal mining,2017,M10,198.9,
Coal mining,2017,M11,199.7,
Coal mining,2017,M12,199.6,
Coal mining,2017,M13,199.7,
Coal mining,2018,M01,201.0,
Coal mining,2018,M02,202.2,
Coal mining,2018,M03,203.1,
Coal mining,2018,M04,202.1,
Coal mining,2018,M05,204.6,
Coal mining,2018,M06,202.3,
Coal mining,2018,M07,202.6,
Coal mining,2018,M08,201.5,
Coal mining,2018,M09,202.3,
Coal mining,2018,M10,204.1,
Coal mining,2018,M11,202.9,
Coal mining,2018,M12,203.9,
Coal mining,2018,M13,202.7,
Coal mining,2019,M01,205.2,
Coal mining,2019,M02,203.0,
Coal mining,2019,M03,203.9,
Coal mining,2019,M04,204.8,P
Coal mining,2019,M05,202.0,P
Coal mining,2019,M06,201.5,P
Coal mining,2019,M07,201.7,P
Coal mining,2001,M12,100.0,
Coal mining,2002,M01,102.9,
Coal mining,2002,M02,102.2,
Coal mining,2002,M03,102.3,
Coal mining,2002,M04,102.0,
Coal mining,2002,M05,102.0,
Coal mining,2002,M06,101.2,
Coal mining,2002,M07,101.4,
Coal mining,2002,M08,100.9,
Coal mining,2002,M09,100.2,
Coal mining,2002,M10,100.8,
Coal mining,2002,M11,101.1,
Coal mining,2002,M12,100.5,
Coal mining,2002,M13,101.5,
Coal mining,2003,M01,100.7,
Coal mining,2003,M02,100.7,
Coal mining,2003,M03,101.1,
Coal mining,2003,M04,102.4,
Coal mining,2003,M05,102.1,
Coal mining,2003,M06,101.8,
Coal mining,2003,M07,101.3,
Coal mining,2003,M08,101.5,
Coal mining,2003,M09,102.2,
Coal mining,2003,M10,102.4,
Coal mining,2003,M11,102.7,
Coal mining,2003,M12,103.2,
Coal mining,2003,M13,101.8,
Coal mining,2004,M01,107.5,
Coal mining,2004,M02,108.8,
Coal mining,2004,M03,109.2,
Coal mining,2004,M04,111.1,
Coal mining,2004,M05,111.5,
Coal mining,2004,M06,111.9,
Coal mining,2004,M07,112.5,
Coal mining,2004,M08,112.7,
Coal mining,2004,M09,114.8,
Coal mining,2004,M10,115.6,
Coal mining,2004,M11,115.5,
Coal mining,2004,M12,115.5,
Coal mining,2004,M13,112.2,
Coal mining,2005,M01,122.0,
Coal mining,2005,M02,123.0,
Coal mining,2005,M03,127.0,
Coal mining,2005,M04,128.3,
Coal mining,2005,M05,128.0,
Coal mining,2005,M06,127.8,
Coal mining,2005,M07,128.0,
Coal mining,2005,M08,128.1,
Coal mining,2005,M09,128.2,
Coal mining,2005,M10,128.8,
Coal mining,2005,M11,130.2,
Coal mining,2005,M12,129.3,
Coal mining,2005,M13,127.4,
Coal mining,2006,M01,135.9,
Coal mining,2006,M02,136.0,
Coal mining,2006,M03,136.8,
Coal mining,2006,M04,137.3,
Coal mining,2006,M05,137.4,
Coal mining,2006,M06,137.1,
Coal mining,2006,M07,136.7,
Coal mining,2006,M08,136.5,
Coal mining,2006,M09,137.0,
Coal mining,2006,M10,136.8,
Coal mining,2006,M11,136.4,
Coal mining,2006,M12,137.1,
Coal mining,2006,M13,136.8,
Coal mining,2007,M01,138.8,
Coal mining,2007,M02,139.9,
Coal mining,2007,M03,142.1,
Coal mining,2007,M04,141.6,
Coal mining,2007,M05,140.2,
Coal mining,2007,M06,140.6,
Coal mining,2007,M07,141.1,
Coal mining,2007,M08,140.6,
Coal mining,2007,M09,140.8,
Coal mining,2007,M10,140.6,
Coal mining,2007,M11,141.1,
Coal mining,2007,M12,141.9,
Coal mining,2007,M13,140.8,
Coal mining,2008,M01,148.8,
Coal mining,2008,M02,150.3,
Coal mining,2008,M03,152.8,
Coal mining,2008,M04,177.6,
Coal mining,2008,M05,178.4,
Coal mining,2008,M06,178.5,
Coal mining,2008,M07,184.2,
Coal mining,2008,M08,184.5,
Coal mining,2008,M09,186.0,
Coal mining,2008,M10,186.2,
Coal mining,2008,M11,186.3,
Coal mining,2008,M12,184.7,
Coal mining,2008,M13,174.8,
Coal mining,2009,M01,195.4,
Coal mining,2009,M02,202.9,
Coal mining,2009,M03,205.7,
Coal mining,2009,M04,207.4,
Coal mining,2009,M05,199.1,
Coal mining,2009,M06,198.0,
Coal mining,2009,M07,200.0,
Coal mining,2009,M08,197.1,
Coal mining,2009,M09,198.8,
Coal mining,2009,M10,198.6,
Coal mining,2009,M11,198.4,
Coal mining,2009,M12,200.1,
Coal mining,2009,M13,200.1,
Coal mining,2010,M01,205.0,
Coal mining,2010,M02,205.6,
Coal mining,2010,M03,206.4,
Coal mining,2010,M04,206.8,
Coal mining,2010,M05,207.6,
Coal mining,2010,M06,208.7,
Coal mining,2010,M07,208.4,
Coal mining,2010,M08,210.0,
Coal mining,2010,M09,208.2,
Coal mining,2010,M10,208.3,
Coal mining,2010,M11,208.8,
Coal mining,2010,M12,209.0,
Coal mining,2010,M13,207.7,
Coal mining,2011,M01,222.8,
